Class,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Calc I,29,25,17,22,21,16,25,23,29,24,28
Calc I,28,28,17,23,24,24,24,21,33,30,20
Calc I,17,16,15,26,22,18,25,16,32,35,31
Calc I,6,25,16,,8,27,29,31,13,22,33
Calc I,,20,24,,,,,,,23,13
Calc I,,,,,,,,,,26,
Calc II,26,22,25,14,13,13,24,20,27,28,30
Calc II,13,14,22,13,10,15,18,15,30,34,33
Calc II,15,22,13,12,16,18,14,30,10,,23
Calc II,30,22,5,16,12,12,28,,30,,20
Calc II,,,10,23,15,18,,,,,
Calc II,,,,,,,,,,,
Calc III,17,10,10,25,10,14,22,14,16,45,25
Calc III,14,5,19,27,20,14,8,6,,31,30
Calc III,25,,12,,,6,,,,,
